,isotopes,energies,branching_ratios
0,BR82,"[556, 616, 695, 824, 1039, 1311, 1468]","[71.7, 43.7, 28.4, 24.2, 27.6, 26.9, 16.39]"
1,ZN71,"[508, 616]","[28.7, 55.8]"
2,AS76,"[556, 653]","[45.0, 6.2]"
3,AG110,"[653, 1468]","[95.61, 4.08]"
4,AG108,[616],[89.8]
5,SR85,[508],[96.0]
6,ZR97,[508],[5.03]
7,AC228,[772],[0.0149]
8,GE77,[556],[16.8]
9,MO93,[1468],[99.1]
10,SN125,[824],[4.3]
11,PA232,[508],[5.42]
12,NB94,[695],[99.814]
13,HO166,[824],[9.43]
14,CD117,[556],[14.7]
15,IN114,[556],[4.4]
16,CS134,[556],[8.338]
17,TE121,[508],[17.7]
18,TE131,[824],[5.9]
19,NA24,[1362],[99.9936]
20,CU64,[508],[35.2]
21,K42,[1518],[18.08]
22,W187,[616],[7.57]
23,ND149,[653],[8.0]
24,SB122,[556],[70.67]
25,KR79,[508],[14.0]
