,Energy [keV],Isotope,Mass Fraction,Fraction Unc.
1,1291.813097,Ar41,1.26304398193e+30,4.15377866464e+114
2,559.3798370000001,As76,0.0272988223354,1.01503938877e-13
3,564.045017,As76,0.836707057556,1.09903640781e-07
4,411.708947,Au198,4.56725832396e-06,5.48381025181e-28
5,133.054157,Ba131,8.56038265726,0.000153126423684
6,216.13024700000003,Ba131,0.771390518445,1.22018126173e-08
7,373.490357,Ba131,0.68227025291,1.48932218421e-08
8,487.06954700000006,Ba131,194.807340329,6.43325334973
9,496.579337,Ba131,0.666217559399,5.63947407262e-09
10,344.243267,Cd117,1.13270657335e+24,1.71635658152e+90
11,1408.6220270000001,Cd117,1.49810711264e+25,7.94770315278e+94
12,145.434827,Ce141,0.0537156455849,3.20419706055e-14
13,293.464577,Ce143,0.0582306839684,1.15974617387e-11
14,1173.389297,Co60,0.0384804736375,8.42097526848e-17
15,1332.902567,Co60,0.0371922417224,7.79607206749e-17
16,320.199647,Cr51,0.0954134157365,3.06917801446e-13
17,564.045017,Cs134,0.0838119977464,1.58217807635e-14
18,569.427917,Cs134,0.0137244528151,3.24604533206e-17
19,604.775627,Cs134,0.0131258987175,6.58703009388e-18
20,796.048007,Cs134,0.0170430029606,1.63178532794e-17
21,802.5074870000001,Cs134,0.0122090271304,4.55309079398e-17
22,1365.9176870000001,Cs134,-0.272582976256,2.02282034369e-12
23,111.163697,Er171,9091.04861974,25372460678.5
24,308.177837,Er171,981.639259679,11674753.2741
25,121.750067,Eu152,0.00183809117446,2.50640385919e-22
26,244.83904700000002,Eu152,0.00200612411698,9.12287555853e-22
27,344.243267,Eu152,0.00252526258809,8.90188019521e-22
28,411.708947,Eu152,0.00065669444077,1.27828962131e-22
29,444.18577700000003,Eu152,0.00218984933231,4.06476297262e-21
30,779.002157,Eu152,0.00247168163116,2.23205375714e-21
31,867.820007,Eu152,0.0111130288667,7.30368751402e-19
32,964.532777,Eu152,0.00283380845418,3.35284524046e-21
33,1086.1863170000001,Eu152,0.00332008905324,7.15142995281e-21
34,1112.3830970000001,Eu152,0.00273233686803,3.07101186629e-21
35,1408.6220270000001,Eu152,0.00301309008627,2.73046346688e-21
36,1274.9466770000001,Eu154,0.00249560313402,1.60941359399e-20
37,1596.485237,Eu154,4.63583723253,6.74086788895e-09
38,192.26605700000002,Fe59,7.62731183327,5.58507967198e-05
39,1099.643567,Fe59,11.3497868869,3.98941683934e-05
40,1291.813097,Fe59,11.6914940017,5.20327512105e-05
41,1274.9466770000001,Ga72,14.6688113723,0.102572315411
42,1596.485237,Ga72,513.885645568,5434.42917293
43,2505.477617,Ga72,4.49923420019,0.000235392822377
44,103.089347,Gd153,1.37313881317,7.61198892202e-10
45,198.00781700000002,Ge75,4.85480196625e+42,inf
46,216.13024700000003,Ge77,2300.99833345,23595165.1048
47,415.835837,Ge77,1116.81252289,4521303.98517
48,1086.1863170000001,Ge77,39337.7753968,1.47923208158e+12
49,1369.147427,Ge77,144508.136057,1.58640563746e+14
50,344.243267,Hf175,0.0707389760777,3.86957241831e-14
51,432.522827,Hf175,0.986344531549,4.75199482242e-09
52,133.054157,Hf181,0.00292195914561,5.63908196256e-19
53,482.40436700000004,Hf181,0.00565637381771,4.23013757141e-18
54,308.177837,Ir192,8.74016374347e-06,3.11211107767e-28
55,604.775627,Ir192,0.00192485449459,3.10994179968e-20
56,293.464577,Ir194,0.0280002941286,1.06249188381e-12
57,328.812287,Ir194,0.197001287517,1.35689169212e-10
58,216.13024700000003,Kr79,7.57854469676,0.00089539654749
59,300.282917,Kr79,12.8861470914,0.00862710892567
60,396.63682700000004,Kr79,6.69527706146,0.000266550598222
61,2009.891957,Kr87,4.67311563143e+50,inf
62,328.812287,La140,0.0288285329064,2.97877048475e-14
63,432.522827,La140,0.0309921151096,1.93217501784e-13
64,487.06954700000006,La140,0.0311082330088,2.86675621491e-14
65,751.728797,La140,0.0411132881811,4.87930583167e-13
66,815.964737,La140,0.0426724577297,1.57188483467e-13
67,867.820007,La140,0.0483280439336,7.69239934286e-13
68,919.675277,La140,0.0353896358891,5.5814393754e-13
69,925.5964670000001,La140,0.0343249019564,2.11487418943e-13
70,1596.485237,La140,0.0325453276697,3.06078351462e-14
71,2521.805747,La140,0.040660859212,4.0206325986e-13
72,112.957997,Lu177,0.000311626499787,8.92572477287e-22
73,113.675717,Lu177,9.25018932248e-05,2.45044195414e-23
74,208.414757,Lu177,0.000578463867931,3.57709385253e-21
75,140.76964700000002,Mo99,0.00719933173109,2.02091970533e-15
76,1369.147427,Na24,1.82338293663,3.0376132174e-06
77,2751.655577,Na24,1.24734695527,7.58608118748e-07
78,320.199647,Nd147,2.06474466862,1.69811204e-07
79,531.209327,Nd147,0.0391980876087,1.64141397224e-13
80,113.675717,Nd149,1.59157545504e+32,2.00859085402e+124
81,198.00781700000002,Nd149,7.72030777162e+33,2.66751642116e+130
82,208.414757,Nd149,1.29005548376e+34,8.27560128845e+130
83,444.18577700000003,Nd149,8.75374616383e+33,7.12347591215e+130
84,564.045017,Pa232,0.00844992447234,9.40581738692e-16
85,192.26605700000002,Pt197,10.3997403738,0.0103649294148
86,1076.855957,Rb86,0.0692120877476,5.93386669817e-13
87,444.18577700000003,Ru103,0.129497094584,6.25660105604e-12
88,496.579337,Ru103,0.014589745278,3.79937960712e-16
89,216.13024700000003,Ru97,0.089814031062,8.89208824314e-12
90,564.045017,Sb122,0.00262119925789,4.18872124626e-18
91,1369.147427,Sb124,0.751519839871,9.07564623663e-10
92,1691.762567,Sb124,0.00371614937871,2.68801439328e-18
93,889.5310370000001,Sc46,0.0157676001471,1.5958045539e-17
94,1120.816307,Sc46,0.0153023095083,1.54324468141e-17
95,121.750067,Se75,0.362987039411,1.57266788571e-11
96,198.00781700000002,Se75,0.528814703521,3.529673608e-10
97,103.089347,Sm153,0.00468216279459,1.28274766836e-17
98,1086.1863170000001,Sn125,48.467429532,0.166489653663
99,112.957997,Ta182,0.0203627928119,9.5760972558e-16
100,113.675717,Ta182,0.00604440536261,2.62899328287e-17
101,198.00781700000002,Ta182,0.0277665491412,2.80833477887e-15
102,228.331487,Ta182,0.0152901326183,2.07793328657e-16
103,1120.816307,Ta182,0.303659137552,1.75228430396e-12
104,198.00781700000002,Tb160,0.00399928547378,1.91290088406e-18
105,216.13024700000003,Tb160,0.00733655707752,1.58801979321e-17
106,487.06954700000006,Te129,3.18144791637e+53,inf
107,110.087117,U235,-20284425178.0,4.73546355876e+24
108,145.434827,Xe127,97.0465839172,0.304812216823
109,110.087117,Yb169,-0.000357620444451,3.67024911316e-21
110,177.014507,Yb169,0.00231238393248,7.11105793678e-19
111,198.00781700000002,Yb169,0.00234251374698,5.08308106525e-19
112,308.177837,Yb169,0.00131447764512,3.67050384316e-19
113,112.957997,Yb175,0.00290702687296,1.08762654854e-17
114,113.675717,Yb175,0.000862909571514,2.98593760485e-19
115,282.51934700000004,Yb175,0.00369410214591,1.53610581018e-17
116,396.63682700000004,Yb175,0.00439108173875,1.72047721985e-17
117,121.750067,Yb177,4.20266281786e+30,4.25110637322e+116
118,564.045017,mCd117,2.54070478107e+17,7.19358390494e+63
119,1365.9176870000001,mCd117,-2.65727746423e+18,9.83575983955e+67
120,121.750067,mEu152,3.62013227543,4.80328011809e-05
121,344.243267,mEu152,13.5634030288,0.00943599145393
122,216.13024700000003,mHf180,1486560.29824,8.44507824203e+18
123,133.054157,mHg197,0.0380834680339,6.95593493605e-13
124,216.13024700000003,mHo166,23.5776507357,2.79574742484e-07
125,300.282917,mHo166,18.2183501658,1.14876921279e-07
126,411.708947,mHo166,0.84437795801,3.9415281956e-12
127,751.728797,mHo166,16.882722401,5.31481012283e-08
128,779.002157,mHo166,68.2497922364,1.46379765586e-05
129,559.3798370000001,mIn114,0.922970455722,2.88737836478e-09
130,112.957997,mLu177,0.00098262027837,3.70439766931e-21
131,113.675717,mLu177,0.000291676850757,1.0169943276e-22
132,121.750067,mLu177,0.0282045989963,4.28083590553e-16
133,177.014507,mLu177,0.00101251745741,5.21918702588e-21
134,208.414757,mLu177,0.00110839521795,2.02428989822e-21
135,228.331487,mLu177,0.000783399601237,1.02154031258e-21
136,282.51934700000004,mLu177,0.00289244611548,1.50639109093e-19
137,340.83409700000004,mLu177,0.0152727146616,1.94379772833e-16
138,159.43036700000002,mSn117,0.0823808236196,1.29131173636e-12
139,159.43036700000002,mTe123,0.116972328699,5.96353650029e-13
140,277.67473700000005,mTe131,8.0498099127,0.00133816005908
141,919.675277,mTe131,19.5538674444,0.0698361559165
142,121.750067,mZn71,1.98891150642e+16,1.02903731558e+59
143,487.06954700000006,mZn71,4.44864206788e+15,1.21936335792e+56
144,964.532777,mZn71,1.05678777639e+16,1.94208886261e+58
