Sample,Date Measured,Dry Sample Weight (g)
UCB005,3/11/2014,543.9
UCB006,4/2/2014,939.8
UCB007,3/15/2014,898.7
UCB008,4/3/2014,"2,650.00"
UCB009,4/18/2014,"1,071.70"
UCB010,4/22/2014,"2,600.00"
UCB014,4/23/2014,"1,900.00"
UCB016,4/24/2014,"3,000.00"
UCB017,4/17/2014,"2,030.00"
UCB018,4/25/2014,"2,380.00"
UCB019,4/28/2014,"1,710.30"
UCB020,4/29/2014,"2,100.00"
UCB021,5/19/2014,630.3
UCB022,5/22/2014,969.8
UCB023,5/23/2014,955.2
UCB024,5/20/2014,524.7
UCB025,5/21/2014,604.6
UCB026,6/17/2014,234.5
UCB027,6/21/2014,112.4
UCB028,6/24/2014,447.6
UCB029,6/26/2014,195.4
UCB030,7/8/2014,257.3
UCB031,7/17/2014,176.3
UCB032,7/15/2014,"1,475.00"
UCB034,7/25/2014,303
UCB035,8/22/2014,370.6
UCB036,9/3/2014,270.1
UCB037,9/24/2014,NaN
UCB038,10/3/2014,367.5
UCB039,10/7/2014,476.7
UCB040,10/17/2014,368.4
UCB041,NaN,340.6
UCB042,12/15/2014,466.8
UCB044,1/20/2015,373.1
UCB045,11/24/2014,213.7
UCB046,12/1/2014,83.5
UCB047,12/2/2014,179
UCB048,12/3/2014,205.7
UCB049,1/22/2015,486.3
UCB050,1/22/2015,NaN
UCB051,2/23/2015,331.8
UCB052,2/24/2015,2014
UCB053,3/4/2015,297
UCB054,3/9/2015,213.3
UCB055,3/13/2015,150
UCB056,4/15/2015,332.8
UCB057,4/17/2015,407.6
UCB058,5/15/2015,216.8
UCB059,5/23/2015,352.3
UCB060,6/8/2015,188.7
UCB061,6/14/2015,303.2
UCB062,6/24/2015,364.6
UCB063,7/28/2015,299.3
UCB064,8/9/2015,251.9
UCB065,11/20/2015,383.7
UCB066,5/28/2016,228.3
UCB067,6/6/2016,186.4
UCB068,6/20/2016,340.4
UCB069,6/21/2016,207.2
UCB070,6/23/2016,467
