Sample Type,Date Measured,Sample Weight (g),Cs-134 Act[Bq],Cs-134 Unc[Bq],Cs-137 Act[Bq],Cs-137 Unc[Bq],Co-60 Act[Bq],Co-60 Unc[Bq],K-40 Act[Bq],K-40 Unc[Bq],Tl-208 Act[Bq],Tl-208 Unc[Bq],Ac-228 Act[Bq],Ac-228 Unc[Bq],Pb-212 Act[Bq],Pb-212 Unc[Bq],Bi-214 Act[Bq],Bi-214 Unc[Bq],Pb-214 Act[Bq],Pb-214 Unc[Bq],Th-234 Act[Bq],Th-234 Unc[Bq],Pb-210 Act[Bq],Pb-210 Unc[Bq]
UCB005 Tuna Rerun,07/03/2014,543.9,0.2052752146366269,0.05116980844537326,-0.16312456571903694,-0.017578875666157054,30.76961085665851,12.41510108224644,-7.431142097176403,-0.0585032197455225,-1.4919120692316816,-0.022387906506910794,-0.5199572218022827,-0.033083129551837925,-0.6028779177171564,-0.008498443442121134,-0.9664220374146637,-0.029689864698114122,-0.45736472806930045,-0.012466017132652754,1.1934706985465788,0.07350794543227733,3.2541518118630437,0.11580218671767745
UCB006 Bananas,03/20/2014,939.8,0.1952902892312397,0.045661594579612906,0.008558923402729974,0.015700942795899658,-8.118220802458259,-3.322409522471505,125.78409445603685,0.5015120192118907,0.11991437067115976,0.020647909813526197,-0.3477243110560371,-0.030006622162085116,0.16922788687435245,0.006238581763071667,0.03876223458382843,0.028954758009316385,0.07258776092736277,0.010858804791600616,2.532024441330636,0.09761859973482571,2.9750938659517687,0.10419081562091369
UCB007 Brazil Nuts,03/13/2014,898.7,4.0120886789954815,0.15150502122452533,2.075837730029409,0.031232135434342487,-5.298275183191226,-2.1815037738508836,158.41655771064063,0.62155323619126,29.690147233716225,0.29460246834341236,65.97346181995783,0.8560321992768037,30.887702603661463,0.3042865934778974,51.28152319014961,0.5255234499330936,52.515262715213865,0.5340310059166974,40.57902779244616,1.2600872835412553,21.329831211037252,0.24360774314073605
UCB008 soil sample000,04/03/2014,"2,650.00",2.5729372479602413,0.12418895600084832,12.373581750154818,0.16278945558127567,6.268714010097989,2.684521125657748,1266.5133949907383,4.935151969765704,49.31876528570232,0.48993126515176166,52.10483911368448,0.6789535016754288,47.755903783861726,0.47055533340929506,43.13290762501579,0.4456126077553772,43.135738085501764,0.4392961315239861,53.662104222735884,1.6682443432747962,34.303346381080864,0.4038274569139791
UCB009 soil sample001,04/18/2014,"1,071.70",2.153571041164549,0.10253866287703588,5.073245762852134,0.07074697469732573,-5.725714694634398,-2.425683713733976,437.825057398646,1.7121801595600128,19.864392441937284,0.20001903076744001,21.895483605361278,0.2892366459064342,20.773982163481925,0.20496989675120067,18.774843818518256,0.19893833802070893,19.976826026622376,0.2042531306197934,22.384550594631637,0.7000297270956842,13.008702161438364,0.2003429513946062
UCB010 soil sample002,04/22/2014,"2,600.00",3.2475745280217625,0.14014346411551606,4.737210476609986,0.06774963403338367,8.76922599929973,3.6289146890866486,662.3853208374661,2.5852570058496873,31.932488941409066,0.3186712863260985,36.18598130641118,0.4733948487878424,33.55568857701726,0.3307723588659709,30.48503011596594,0.3173042987508501,30.888843306874712,0.31498089012216984,41.306921263350894,1.2854708890255688,27.818763244722703,0.3367103406838456
UCB014 Soil sample006,04/23/2014,"1,900.00",3.997632852424145,0.16348934902361278,1.5382490017894122,0.03382849645999416,1.3161056191208453,0.9858394771632314,862.7794023212086,3.3642152728022685,39.50741868465861,0.39310094902324566,42.97775190692219,0.5608226778121496,39.615560248693406,0.3904038269245496,34.59180440349203,0.358643667314947,35.07383474425127,0.3574005705982984,47.43587414635132,1.4750494087775412,30.839841217886832,0.36390158686420604
UCB016 soil sample008,04/24/2014,"3,000.00",0.931767918984333,0.08156648519672252,96.5381594304098,1.242929491938633,9.256338210675304,3.813535583873663,605.3730493412011,2.3632480863794108,26.676498406517815,0.2668677299948871,28.554247957966975,0.3749187272104681,26.507530174346506,0.26139597583313046,41.17852964985183,0.42538369781227636,40.43190607191707,0.41179154533126733,41.927330132237124,1.3045400987492028,29.206625218990048,0.3488200579412411
UCB017 Soil sample009,04/17/2014,"2,030.00",4.439933259144253,0.17586012142140606,15.514697379775589,0.20218613437635327,-3.613235941368012,-1.6564525373194676,724.4267632411826,2.825761939394911,36.470111076742526,0.3630142884448617,40.0065258121797,0.5221669892062119,36.51997449777064,0.359913356142609,32.06340748780015,0.3326781686469928,32.911035254037806,0.3353908224812052,47.089054386435656,1.4640708552456148,24.684710956495376,0.30449433332173964
UCB018 Soil Sample010 2,04/25/2014,"2,380.00",2.38,0.12119010476236504,2.38,0.043303301605187514,2.38,1.356692403235787,1893.6993599999998,7.375742801859644,49.207928,0.488756450965424,52.598238,0.6852687153151328,49.207928,0.4848405641968338,57.66978,0.5933545409297372,57.669779999999996,0.5868682451983138,66.15924,2.0553521366582697,49.207928,0.5489801547073337
